,point,crowded_ratio,number_of_people,timestamp,location_group,timezone
4038,POINT (14.0736158 100.6015063),2,140,2020-08-16 01:29:56.425000+00:00,shop,Asia/Bangkok
4039,POINT (14.0735942 100.6015074),2,14,2020-08-16 01:30:35.903000+00:00,shop,Asia/Bangkok
4040,POINT (14.0711221 100.6022425),2,19,2020-08-16 02:34:04.942000+00:00,office,Asia/Bangkok
4041,POINT (14.0662503 100.6297066),2,250,2020-08-16 03:46:25.017000+00:00,shop,Asia/Bangkok
4042,POINT (14.0664752 100.6329872),4,250,2020-08-16 04:18:22.148000+00:00,shop,Asia/Bangkok
4052,POINT (14.065155 100.61811),2,69,2020-08-16 23:56:28.656000+00:00,shop,Asia/Bangkok
4053,POINT (14.0665729 100.6332906),2,73,2020-08-17 00:18:32.184000+00:00,shop,Asia/Bangkok
4054,POINT (14.0667419 100.6329533),2,50,2020-08-17 00:50:48.080000+00:00,shop,Asia/Bangkok
4055,POINT (14.0665196 100.6293612),2,4,2020-08-17 01:06:59.014000+00:00,shop,Asia/Bangkok
4056,POINT (14.0737601 100.6012859),2,5,2020-08-17 01:07:00.439000+00:00,shop,Asia/Bangkok
4057,POINT (14.0732826 100.6012414),3,220,2020-08-17 01:10:33.506000+00:00,shop,Asia/Bangkok
4058,POINT (14.0660419 100.6181843),2,16,2020-08-17 01:22:02.674000+00:00,shop,Asia/Bangkok
4059,POINT (14.0652008 100.618057),2,13,2020-08-17 01:45:42.244000+00:00,shop,Asia/Bangkok
4060,POINT (14.0734471 100.6012364),4,230,2020-08-17 01:52:41.194000+00:00,shop,Asia/Bangkok
4061,POINT (14.0667003 100.6291546),2,32,2020-08-17 01:59:46.555000+00:00,shop,Asia/Bangkok
4062,POINT (14.0738226 100.6012913),2,7,2020-08-17 02:01:28.735000+00:00,shop,Asia/Bangkok
4063,POINT (14.0711617 100.6024856),2,65,2020-08-17 02:12:41.315000+00:00,office,Asia/Bangkok
4064,POINT (14.0665733 100.6332204),2,122,2020-08-17 02:16:27.423000+00:00,shop,Asia/Bangkok
4065,POINT (14.0666049 100.6331696),3,160,2020-08-17 02:51:55.610000+00:00,shop,Asia/Bangkok
4066,POINT (14.0711436 100.6019076),3,150,2020-08-17 02:59:54.900000+00:00,office,Asia/Bangkok
4067,POINT (14.0737446 100.6012703),2,1,2020-08-17 03:03:54.316000+00:00,shop,Asia/Bangkok
4068,POINT (14.0665316 100.6292884),3,64,2020-08-17 03:07:18.155000+00:00,shop,Asia/Bangkok
4069,POINT (14.0725343 100.6025894),2,53,2020-08-17 03:08:16.349000+00:00,shop,Asia/Bangkok
4070,POINT (14.0660076 100.618152),2,8,2020-08-17 03:22:21.612000+00:00,shop,Asia/Bangkok
4071,POINT (14.0660332 100.6181687),2,4,2020-08-17 03:49:33.825000+00:00,shop,Asia/Bangkok
4072,POINT (14.0732784 100.6012474),3,71,2020-08-17 03:56:37.399000+00:00,shop,Asia/Bangkok
4073,POINT (14.0734981 100.6012523),3,71,2020-08-17 03:56:51.984000+00:00,shop,Asia/Bangkok
4074,POINT (14.0737865 100.6012884),2,4,2020-08-17 03:59:11.479000+00:00,shop,Asia/Bangkok
4075,POINT (14.0662893 100.6291271),3,116,2020-08-17 04:06:15.309000+00:00,shop,Asia/Bangkok
4076,POINT (14.0711107 100.6019215),3,163,2020-08-17 04:07:51.085000+00:00,office,Asia/Bangkok
4077,POINT (14.0665874 100.6331252),3,192,2020-08-17 04:22:53.624000+00:00,shop,Asia/Bangkok
4078,POINT (14.0711273 100.6019029),4,250,2020-08-17 04:51:41.103000+00:00,office,Asia/Bangkok
4079,POINT (14.0666221 100.6332122),3,245,2020-08-17 04:55:42.909000+00:00,shop,Asia/Bangkok
4080,POINT (14.0738531 100.6012866),2,6,2020-08-17 04:56:58.464000+00:00,shop,Asia/Bangkok
4081,POINT (14.0735306 100.6012194),5,250,2020-08-17 05:07:03.323000+00:00,shop,Asia/Bangkok
4082,POINT (14.0661898 100.6290765),3,200,2020-08-17 05:10:57.296000+00:00,shop,Asia/Bangkok
4083,POINT (14.0652164 100.6181081),2,9,2020-08-17 05:20:12.840000+00:00,shop,Asia/Bangkok
4084,POINT (14.071145 100.6020195),4,250,2020-08-17 05:53:14.978000+00:00,office,Asia/Bangkok
4085,POINT (14.0738227 100.6012996),4,23,2020-08-17 05:57:32.037000+00:00,shop,Asia/Bangkok
4086,POINT (14.0733182 100.6013642),5,250,2020-08-17 06:01:44.967000+00:00,shop,Asia/Bangkok
4088,POINT (14.0651838 100.6180805),2,6,2020-08-18 05:56:52.059000+00:00,shop,Asia/Bangkok
4089,POINT (14.0661227 100.6297889),3,185,2020-08-18 06:11:11.567000+00:00,shop,Asia/Bangkok
4090,POINT (14.0666025 100.6331652),4,160,2020-08-18 06:22:44.851000+00:00,shop,Asia/Bangkok
4091,POINT (14.0664393 100.6328457),3,180,2020-08-18 06:54:07.918000+00:00,shop,Asia/Bangkok
4092,POINT (14.0725654 100.6018857),2,102,2020-08-18 06:57:27.986000+00:00,playground,Asia/Bangkok
4093,POINT (14.0721763 100.6025894),2,1,2020-08-18 07:00:08.833000+00:00,shop,Asia/Bangkok
4094,POINT (14.0661658 100.6294645),3,210,2020-08-18 07:06:15.616000+00:00,shop,Asia/Bangkok
4095,POINT (14.0711235 100.6019069),5,250,2020-08-18 07:15:29.269000+00:00,office,Asia/Bangkok
4096,POINT (14.0653956 100.6181087),2,6,2020-08-18 07:16:11.205000+00:00,shop,Asia/Bangkok
4098,POINT (13.9918973 100.6168312),1,0,2020-08-19 02:01:24.779000+00:00,shop,Asia/Bangkok
4099,POINT (13.9903408 100.6185445),2,10,2020-08-19 02:08:54.147000+00:00,shop,Asia/Bangkok
4100,POINT (13.9907957 100.6180966),2,30,2020-08-19 02:54:55.274000+00:00,shop,Asia/Bangkok
4101,POINT (13.9922048 100.6169336),2,27,2020-08-19 03:03:33.403000+00:00,shop,Asia/Bangkok
4102,POINT (13.9920814 100.6171193),2,62,2020-08-19 03:51:57.152000+00:00,shop,Asia/Bangkok
4103,POINT (13.9919477 100.6177935),2,1,2020-08-19 04:01:13.133000+00:00,shop,Asia/Bangkok
4104,POINT (13.9900215 100.6186035),2,70,2020-08-19 04:08:15.280000+00:00,shop,Asia/Bangkok
4105,POINT (13.990301 100.6167996),2,43,2020-08-19 04:15:25.371000+00:00,shop,Asia/Bangkok
4106,POINT (13.9895856 100.6167764),2,50,2020-08-19 04:50:12.590000+00:00,shop,Asia/Bangkok
4107,POINT (13.990671 100.6181766),3,85,2020-08-19 04:58:30.046000+00:00,shop,Asia/Bangkok
4108,POINT (13.9919628 100.6178796),2,10,2020-08-19 05:03:35.813000+00:00,shop,Asia/Bangkok
4109,POINT (13.9920703 100.616502),2,58,2020-08-19 05:09:00.373000+00:00,shop,Asia/Bangkok
4110,POINT (13.9920823 100.6170932),2,76,2020-08-19 05:52:14.725000+00:00,shop,Asia/Bangkok
4111,POINT (13.9918864 100.6178672),2,14,2020-08-19 05:58:49.275000+00:00,shop,Asia/Bangkok
4112,POINT (13.990061 100.6186743),3,74,2020-08-19 06:04:57.709000+00:00,shop,Asia/Bangkok
4113,POINT (13.9902441 100.6165523),2,45,2020-08-19 06:10:37.300000+00:00,shop,Asia/Bangkok
4114,POINT (13.9895814 100.6167632),3,72,2020-08-19 06:50:35.736000+00:00,shop,Asia/Bangkok
4115,POINT (13.9907937 100.618068),3,120,2020-08-19 07:00:20.593000+00:00,shop,Asia/Bangkok
4116,POINT (13.9911934 100.617211),2,12,2020-08-19 07:04:12.768000+00:00,shop,Asia/Bangkok
4117,POINT (13.99214 100.6167763),3,80,2020-08-19 07:08:49.977000+00:00,shop,Asia/Bangkok
4118,POINT (13.9920802 100.617086),4,115,2020-08-19 07:47:03.639000+00:00,shop,Asia/Bangkok
4119,POINT (13.9919068 100.6179224),2,26,2020-08-19 07:52:48.856000+00:00,shop,Asia/Bangkok
4120,POINT (13.9902683 100.6185956),3,120,2020-08-19 07:59:27.982000+00:00,shop,Asia/Bangkok
4121,POINT (13.9903806 100.6167121),3,108,2020-08-19 08:15:32.820000+00:00,shop,Asia/Bangkok
4125,POINT (14.0660465 100.6180414),2,10,2020-08-19 11:51:19.973000+00:00,shop,Asia/Bangkok
4126,POINT (14.0665998 100.6294026),3,250,2020-08-19 12:08:13.871000+00:00,shop,Asia/Bangkok
4127,POINT (14.0666018 100.6331349),3,190,2020-08-19 12:21:06.914000+00:00,shop,Asia/Bangkok
4128,POINT (14.0666219 100.6331346),3,210,2020-08-19 12:48:14.625000+00:00,shop,Asia/Bangkok
4129,POINT (14.0665457 100.6292877),3,173,2020-08-19 13:02:48.383000+00:00,shop,Asia/Bangkok
4130,POINT (14.0662259 100.6294528),2,43,2020-08-19 13:35:20.884000+00:00,shop,Asia/Bangkok
4131,POINT (14.0666886 100.6330842),2,86,2020-08-19 13:52:43.552000+00:00,shop,Asia/Bangkok
4132,POINT (14.0664591 100.6329792),2,33,2020-08-19 14:55:45.512000+00:00,shop,Asia/Bangkok
4133,POINT (14.0663535 100.6328435),2,5,2020-08-19 15:10:04.018000+00:00,shop,Asia/Bangkok
4135,POINT (13.9918793 100.6179615),3,38,2020-08-20 09:15:34.741000+00:00,shop,Asia/Bangkok
4136,POINT (13.9918744 100.6179532),3,104,2020-08-20 09:17:31.153000+00:00,shop,Asia/Bangkok
4137,POINT (13.9902969 100.6185203),3,115,2020-08-20 09:25:24.904000+00:00,shop,Asia/Bangkok
